
code	|	name	|	preferred name	|	taxid
3	|	Anochetus daedalus	|	 	|	 
1	|	Anochetus diegensis	|	 	|	602470
3	|	Anochetus elegans	|	 	|	 
1	|	Anochetus emarginatus	|	 	|	486636
3	|	Anochetus evansi	|	 	|	 
3	|	Anochetus faurei	|	 	|	 
3	|	Anochetus filicornis	|	 	|	 
3	|	Anochetus fricatus	|	 	|	 
3	|	Anochetus fuliginosus	|	 	|	 
1	|	Anochetus ghilianii	|	 	|	602477
3	|	Anochetus gladiator	|	 	|	 
1	|	Anochetus goodmani	|	 	|	476159
3	|	Anochetus gracilis	|	 	|	 
1	|	Anochetus graeffei	|	 	|	320728
1	|	Anochetus grandidieri	|	 	|	269309
3	|	Anochetus haytianus	|	 	|	 
3	|	Anochetus hohenbergiae	|	 	|	 
1	|	Anochetus horridus	|	 	|	602480
3	|	Anochetus inca	|	 	|	 
1	|	Anochetus incultus	|	 	|	602482
3	|	Anochetus inermis	|	 	|	 
1	|	Anochetus isolatus	|	 	|	602484
3	|	Anochetus jonesi	|	 	|	 
3	|	Anochetus kanariensis	|	 	|	 
1	|	Anochetus katonae	|	 	|	373790
3	|	Anochetus kempfi	|	 	|	 
3	|	Anochetus lanyuensis	|	 	|	 
1	|	Anochetus levaillanti	|	 	|	602488
3	|	Anochetus leyticus	|	 	|	 
3	|	Anochetus longifossatus	|	 	|	 
3	|	Anochetus longispinus	|	 	|	 
3	|	Anochetus longus	|	 	|	 
1	|	Anochetus madagascarensis	|	 	|	269310
3	|	Anochetus madaraszi	|	 	|	 
3	|	Anochetus maryatiae	|	 	|	 
3	|	Anochetus maynei	|	 	|	 
1	|	Anochetus mayri	|	 	|	369091
3	|	Anochetus medogensis	|	 	|	 
3	|	Anochetus micans	|	 	|	 
1	|	Anochetus minans	|	 	|	602494
3	|	Anochetus miserabilis	|	 	|	 
3	|	Anochetus mixtus	|	 	|	 
1	|	Anochetus modicus	|	 	|	602496
3	|	Anochetus muzziolii	|	 	|	 
3	|	Anochetus myops	|	 	|	 
1	|	Anochetus natalensis	|	 	|	602499
1	|	Anochetus neglectus	|	 	|	602500
3	|	Anochetus nietneri	|	 	|	 
1	|	Anochetus obscuratus	|	 	|	602502
3	|	Anochetus obscurior	|	 	|	 
1	|	Anochetus orchidicola	|	 	|	602504
3	|	Anochetus oriens	|	 	|	 
3	|	Anochetus orientalis	|	 	|	 
3	|	Anochetus pangantihoni	|	 	|	 
3	|	Anochetus pangens	|	 	|	 
1	|	Anochetus paripungens	|	 	|	602508
1	|	Anochetus pattersoni	|	 	|	663891
3	|	Anochetus pellucidus	|	 	|	 
1	|	Anochetus peracer	|	 	|	602510
1	|	Anochetus princeps	|	 	|	486637
1	|	Anochetus pubescens	|	 	|	602511
3	|	Anochetus punctaticeps	|	 	|	 
3	|	Anochetus pupulatus	|	 	|	 
1	|	Anochetus rectangularis	|	 	|	602514
3	|	Anochetus renatae	|	 	|	 
1	|	Anochetus risii	|	 	|	602515
3	|	Anochetus rothschildi	|	 	|	 
3	|	Anochetus rufolatus	|	 	|	 
3	|	Anochetus rufostenus	|	 	|	 
3	|	Anochetus rufus	|	 	|	 
3	|	Anochetus ruginotus	|	 	|	 
1	|	Anochetus rugosus	|	 	|	602518
3	|	Anochetus schoedli	|	 	|	 
3	|	Anochetus sedilloti	|	 	|	 
3	|	Anochetus seminiger	|	 	|	 
3	|	Anochetus shohki	|	 	|	 
1	|	Anochetus simoni	|	 	|	602522
3	|	Anochetus siphneus	|	 	|	 
3	|	Anochetus splendidulus	|	 	|	 
3	|	Anochetus striatulus	|	 	|	 
3	|	Anochetus strigatellus	|	 	|	 
1	|	Anochetus subcoecus	|	 	|	602527
3	|	Anochetus talpa	|	 	|	 
1	|	Anochetus targionii	|	 	|	602530
3	|	Anochetus testaceus	|	 	|	 
3	|	Anochetus traegaordhi	|	 	|	 
3	|	Anochetus tua	|	 	|	 
1	|	Anochetus turneri	|	 	|	602534
3	|	Anochetus validus	|	 	|	 
3	|	Anochetus vallensis	|	 	|	 
3	|	Anochetus variegatus	|	 	|	 
3	|	Anochetus veronicae	|	 	|	 
3	|	Anochetus vexator	|	 	|	 
1	|	Anochetus victoriae	|	 	|	1884768
3	|	Anochetus werneri	|	 	|	 
3	|	Anochetus wiesiae	|	 	|	 
3	|	Anochetus yerburyi	|	 	|	 
1	|	Anomalomyrma boltoni	|	 	|	1859172
3	|	Anomalomyrma helenae	|	 	|	 
3	|	Anomalomyrma taylori	|	 	|	 
3	|	Anonychomyrma anguliceps	|	 	|	 
3	|	Anonychomyrma angusta	|	 	|	 
3	|	Anonychomyrma arcadia	|	 	|	 
